T,O,High,Low,C,V
20210423 093000,4132.75,4146.0,4131.75,4145.75,158962
20210423 100000,4145.75,4148.75,4144.75,4147.25,107673
20210423 103000,4147.5,4164.5,4146.25,4163.75,151571
20210423 110000,4164.0,4167.5,4160.25,4165.75,105007
20210423 113000,4165.75,4169.0,4164.5,4166.75,67763
20210423 120000,4166.75,4169.75,4166.5,4168.25,41661
20210423 123000,4168.25,4177.0,4168.25,4175.25,57304
20210423 130000,4175.25,4176.0,4173.0,4174.5,41783
20210423 133000,4174.75,4178.0,4174.0,4174.25,36504
20210423 140000,4174.25,4176.75,4171.75,4174.25,54251
20210423 143000,4174.25,4179.75,4173.25,4177.75,54839
20210423 150000,4177.75,4182.75,4176.0,4182.0,69364
20210423 153000,4181.75,4186.75,4170.5,4171.5,247800
20210423 160000,4171.0,4172.5,4166.5,4167.5,70740
